b,m1,m2,cost
0.0,0.0,0.0,65591548106.45744
0.003404126595744681,7.642091281914894,0.011203677021276595,59886311187.11547
0.006655358945369607,14.93105305751934,0.021897317947006494,54696153064.30948
0.00976076206098516,21.883202907831674,0.0321044907745725,49974571520.767494
0.012727074491165124,28.51410440310212,0.04184767445980225,45679262640.96433
0.015560723406333528,34.838601944511346,0.05114830923993325,41771741781.075386
0.018267838987078556,40.8708539958867,0.060026844631229745,38216998758.42802
0.020854268147604195,46.62436477983107,0.06850278520870225,34983184171.0541
0.023325587625041923,52.11201450922155,0.07659473427041535,32041324036.863495
0.025687116463925082,57.34608822175614,0.08432043548413384,29365060195.693607
0.027943927923774543,62.33830328209967,0.09169681260954024,26930414148.317253
0.030100860836452824,67.09983561319709,0.09874000738494865,24715572216.47913
0.032162530438712034,71.64134471547736,0.10546541566333077,22700690099.06111
0.03413333870418615,75.97299752995782,0.11188772187855084,20867715073.25967
0.03601748419795754,80.10449119867047,0.11802093191896779,19200224247.753033
0.03781897147575882,84.04507477336335,0.12387840448199801,17683277418.656002
0.03954162004885184,87.80356992107565,0.12947288097983112,16303283209.897367
0.04118907293465312,91.38839067293945,0.13481651406324768,15047877298.678799
0.04276480481224783,94.8075622604192,0.13992089482739462,13905811634.952972
0.04427212980104977,98.068739081157,0.1447970787604226,12866853662.3615
0.045714208880021215,101.1792218346433,0.14945561049307626,11921694637.683369
0.04709405696406186,104.14597386607416,0.1539065474046431,11061866227.364403
0.048414549653408474,106.97563675498357,0.15815948213810738,10279664633.858364
0.04967842967115501,109.67454518354863,0.16222356407491248,9568081571.975002
0.05088831300330465,112.24874111785273,0.1661075198174072,8920741476.80459
0.052046694755099314,114.7039873338541,0.16981967272482892,8331844380.621068
0.053155954736737,117.04578031833967,0.17336796154655867,7796113946.958654
0.05421836279098163,119.2793625737454,0.17675995819436155,7308750196.263148
0.055236083874592,121.40973435438951,0.18000288469339876,6865386499.554311
0.05621118290494568,123.44166486039198,0.18310362934995908,6462050454.775953
0.05714562938270765,125.37970291434,0.18606876217210372,6095128295.297647
0.05804130180089246,127.22818714460087,0.18890454957774663,5761332511.679428
0.05889999185019029,128.99125569807936,0.19161696842309653,5457672396.600312
0.0597234084299712,130.67285550416318,0.1942117193828659,5181427249.042399
0.06051318147394698,132.27675111059563,0.19669423971220076,4930121997.648158
0.0612708655990549,133.80653311105587,0.19906971541890073,4701505024.843841
0.061997943585732115,135.26562618331337,0.20134309287317947,4493527993.039922
0.0626958296973718,136.65729675595153,0.20351908988095554,4304327492.157517
0.06336587284639221,137.98466032082342,0.20560220624546308,4132208344.0483613
0.06400935961400658,139.25068840761014,0.20759673384082658,3975628414.220983
0.0646275171304539,140.45821523609527,0.20950676622015094,3833184794.7909336
0.06522151582213857,141.60994406104783,0.21133620777963613,3703601234.8584557
0.06579247203182907,142.70845322391773,0.2130887824992321,3585716705.6937585
0.06634145051778094,143.7562019248915,0.21476804227940102,3478474998.2773848
0.06686946683737927,144.75553572823023,0.21637737489265055,3380915259.9928823
0.06737748962063655,145.70869181321382,0.2179200115676386,3292163385.683491
0.06786644273863573,146.61780398244738,0.21939903422282822,3211424185.9393053
0.06833720737177267,147.48490743874115,0.22081738236588605,3137974262.4452176
0.06879062398242831,148.311943341258,0.22217785967427017,3071155526.5549564
0.0692274941964867,149.10076315112846,0.2234831402717388,3010369303.019607
0.06964858259791074,149.85313277626113,0.22473577471483103,2955070966.041896
0.07005461844039346,150.5707365246279,0.22593819570272142,2904765059.5968747
0.07044629727991643,151.2551808748738,0.22709272352323065,2859000858.2986245
0.07082428253187006,151.90799807269244,0.22820157124718451,2817368329.0397067
0.0711892069562218,152.5306495610188,0.22926684968274916,2779494457.220872
0.0715416740740569,153.12452925171755,0.23029057210083412,2745039904.65522
0.07188225951866298,153.69096664609185,0.23127465874214168,2713695969.2026057
0.07221151232418305,154.23122981119815,0.23222094111595215,2685181818.893601
0.0725299561547218,154.74652821862983,0.2331311661002688,2659241975.761601
0.07283809047665671,155.23801545212513,0.23400699985250137,2635644026.8389673
0.07313639167677853,155.70679179006035,0.23485003153944273,2614176541.8084693
0.07342531412876405,156.15390666861032,0.235661776894889,2594647178.652788
0.07370529121036888,156.5803610310895,0.2364436816128674,2576880960.32933
0.07397673627361726,156.98710956873393,0.23719712458406814,2560718707.0298343
0.0742400435701608,157.37506285793992,0.23792342098272562,2546015609.9783607
0.07449558913387791,157.74508939874406,0.2386238252108598,2532639933.9892693
0.07474373162268953,158.09801755910826,0.23929953370646828,2520471837.1605663
0.07498481312147592,158.43463742936237,0.23995168762195618,2509402297.127388
0.07521915990789178,158.75570259095562,0.24058137537879995,2499332134.255212
0.07544708318279429,159.06193180347697,0.24118963510416389,2490171123.0208926
0.07566887976691916,159.3540106137205,0.24177745695492428,2481837183.619788
0.07588483276536431,159.63259289039868,0.24234578533430398,2474255646.555992
0.07609521220136875,159.89830228793852,0.24289552100607967,2467358583.626673
0.07630027562080555,160.15173364263808,0.24342752311109458,2461084199.3063064
0.07650026866874204,160.39345430430873,0.24394261109059157,2455376277.0778112
0.07669542563935812,160.62400540638416,0.2444415665206715,2450183675.7498794
0.07688597000045354,160.84390307733955,0.24492513486198442,2445459871.2476616
0.07707211489371862,161.05363959613294,0.2453940271285698,2441162539.771395
0.07725406361188819,161.25368449425542,0.24584892147958257,2437253178.5882063
0.0774320100538469,161.44448560685717,0.2462904647374675,2433696761.059481
0.07760613915870483,161.62647007530265,0.24671927383598138,2430461422.8129816
0.07777662731981522,161.80004530339912,0.2471359372013041,2427518176.2478886
0.07794364277966088,161.9655998694394,0.24754101606933068,2424840650.8148365
0.0781073460064937,162.12350439610034,0.2479350457420933,2422404856.7439117
0.07826789005357004,162.27411238014489,0.2483185367861259,2420188970.1037107
0.07842542090178652,162.41776098378455,0.24869197617545422,2418173137.2656393
0.07858007778648302,162.55477178947436,0.24905582838176987,2416339297.0215187
0.07873199350914473,162.68545151982997,0.24941053641422933,2414671018.7607265
0.07888129473470083,162.8100927242783,0.2497565228112052,2413153355.256988
0.0790281022750855,162.92897443397916,0.25009419058621013,2411772708.7458377
0.0791725313596959,163.0423627864841,0.2504239241301113,2410516709.092838
0.07931469189335286,163.15051162153034,0.2507460900716545,2409374102.9609857
0.07945468870234143,163.2536630493044,0.2510610380982251,2408334652.984285
0.07959262176908244,163.3520479924468,0.2513691017386827,2407389046.0440965
0.07972858645596007,163.44588670301172,0.25167059911002204,2406528809.8264704
0.07986267371880679,163.5353892555386,0.2519658336295322,2405746236.9128246
0.07999497031052345,163.6207560173398,0.2522550946940476,2405034315.7238398
0.08012555897529043,163.7021780970569,0.2525386583278123,2404386667.6978807
0.08025451863380452,163.7798377724898,0.2528167878004069,2403797490.1410475
0.08038192455995632,163.85390889865664,0.25308973421612235,2403261504.2368197
